"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"40","06","D106",11,13,1.0177919281698e-05,1.20284500601885e-05
"41","06","D107",9,7,3.20512237724455e-05,2.4928729600791e-05
"42","06","D109",30,33,2.77579616773581e-05,3.05337578450939e-05
"43","07","D101",18,18,5.61834577172661e-05,5.61834577172661e-05
"44","07","D102",19,20,5.93047609237809e-05,6.24260641302957e-05
"45","07","D103",2,2,6.24260641302957e-06,6.24260641302957e-06
"46","07","D104",9,11,2.80917288586331e-05,3.43343352716626e-05
"47","07","D106",4,4,1.24852128260591e-05,1.24852128260591e-05
"48","07","D107",4,4,5.33433318776681e-05,5.33433318776681e-05
"49","07","D109",30,23,9.36390961954435e-05,7.178997374984e-05
"50","08","D101",9,8,3.20390734299964e-05,2.8479176382219e-05
"51","08","D102",10,10,3.55989704777738e-05,3.55989704777738e-05
"52","08","D103",3,4,1.06796911433321e-05,1.42395881911095e-05
"53","08","D104",23,20,8.18776320988797e-05,7.11979409555476e-05
